T,F_channel,F_composed,T_eff_fit,KL_bits
3.060000000000000497e+00,4.222008608790447370e-01,4.634907328635256563e-01,3.640716537997630731e+00,4.536154651148620320e-02
3.070000000000000284e+00,4.151890461117041520e-01,4.559093401563620862e-01,3.662995270337460418e+00,4.537186469609535977e-02
3.080000000000000071e+00,4.082715517906844727e-01,4.484253270683297155e-01,3.685322496298782724e+00,4.537744084399853578e-02
3.089999999999999858e+00,4.014486732066968599e-01,4.410391993649619979e-01,3.707697791893849626e+00,4.537837439247258825e-02
3.099999999999999645e+00,3.947206042834726647e-01,4.337513500587371618e-01,3.730120736428186312e+00,4.537476440657222526e-02
3.110000000000000320e+00,3.880874427885258049e-01,4.265620649253248353e-01,3.752590912501578835e+00,4.536670950081514442e-02
3.120000000000000107e+00,3.815491954039684219e-01,4.194715278958067173e-01,3.775107906009925962e+00,4.535430776403129999e-02
3.129999999999999893e+00,3.751057826556068453e-01,4.124798262245092384e-01,3.797671306145429249e+00,4.533765668918009195e-02
3.139999999999999680e+00,3.687570436936154494e-01,4.055869555855644015e-01,3.820280705393330756e+00,4.531685310790729837e-02
3.150000000000000355e+00,3.625027409299458880e-01,3.987928250257264384e-01,3.842935699530719340e+00,4.529199312831832386e-02
3.160000000000000142e+00,3.563425645257931595e-01,3.920972617118851922e-01,3.865635887622293154e+00,4.526317207746633625e-02
3.169999999999999929e+00,3.502761367309421003e-01,3.855000155895982883e-01,3.888380872015029688e+00,4.523048444753562103e-02
3.179999999999999716e+00,3.443030160754926294e-01,3.790007638675969570e-01,3.911170258333196870e+00,4.519402384569302933e-02
3.190000000000000391e+00,3.384227014128914357e-01,3.725991153436427061e-01,3.934003655471020267e+00,4.515388294780536826e-02
3.200000000000000178e+00,3.326346358166913375e-01,3.662946145935616626e-01,3.956880675585193075e+00,4.511015345549142935e-02
3.209999999999999964e+00,3.269382103306306964e-01,3.600867460285686605e-01,3.979800934085822917e+00,4.506292605666831902e-02
3.219999999999999751e+00,3.213327675761391555e-01,3.539749377691279175e-01,4.002764049628353860e+00,4.501229038924116355e-02
3.230000000000000426e+00,3.158176052152864011e-01,3.479585653935317047e-01,4.025769644101792721e+00,4.495833500800854726e-02
3.240000000000000213e+00,3.103919792759988749e-01,3.420369555544667817e-01,4.048817342619155824e+00,4.490114735453159395e-02
3.250000000000000000e+00,3.050551073375801225e-01,3.362093894259106097e-01,4.071906773505164168e+00,4.484081372982194613e-02
3.259999999999999787e+00,2.998061715826733087e-01,3.304751060329355061e-01,4.095037568284389806e+00,4.477741926997569344e-02
3.270000000000000462e+00,2.946443217158097316e-01,3.248333054376514317e-01,4.118209361668172974e+00,4.471104792424157592e-02
3.280000000000000249e+00,2.895686777529585809e-01,3.192831517856147272e-01,4.141421791541656461e+00,4.464178243566926940e-02
3.290000000000000036e+00,2.845783326848597139e-01,3.138237762131203534e-01,4.164674498949281656e+00,4.456970432409029792e-02
3.299999999999999822e+00,2.796723550168310202e-01,3.084542796629097250e-01,4.187967128079872481e+00,4.449489387176201738e-02
3.310000000000000497e+00,2.748497911889646872e-01,3.031737355464091954e-01,4.211299326252898823e+00,4.441743011043632755e-02
3.320000000000000284e+00,2.701096678801002127e-01,2.979811922542467406e-01,4.234670743902498202e+00,4.433739081132751642e-02
3.330000000000000071e+00,2.654509941974091958e-01,2.928756756154423102e-01,4.258081034560353473e+00,4.425485247646552406e-02
3.339999999999999858e+00,2.608727637579451586e-01,2.878561911874514267e-01,4.281529854841499727e+00,4.416989033219523297e-02
